date,total
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,2
2020-03-23,8
2020-03-24,8
2020-03-25,8
2020-03-26,10
2020-03-27,14
2020-03-28,16
2020-03-29,22
2020-03-30,31
2020-03-31,31
2020-04-01,71
2020-04-02,81
2020-04-03,88
2020-04-04,96
2020-04-05,133
2020-04-06,172
2020-04-07,230
2020-04-08,273
2020-04-09,293
2020-04-10,344
2020-04-11,398
2020-04-12,445
2020-04-13,478
2020-04-14,630
2020-04-15,695
2020-04-16,797
2020-04-17,1040
2020-04-18,1205
2020-04-19,1320
2020-04-20,1396
2020-04-21,1604
2020-04-22,1757
2020-04-23,1951
2020-04-24,2105
2020-04-25,2223
2020-04-26,2410
2020-04-27,2528
2020-04-28,2804
2020-04-29,3190
2020-04-30,3506
2020-05-01,3805
2020-05-02,4040
2020-05-03,4227
2020-05-04,4530
2020-05-05,5028
2020-05-06,5389
2020-05-07,5909
2020-05-08,6765
2020-05-09,7599
2020-05-10,8144
2020-05-11,8526
2020-05-12,9112
2020-05-13,9801
2020-05-14,10739
2020-05-15,11592
2020-05-16,12492
2020-05-17,13238
2020-05-18,14198
2020-05-19,15114
2020-05-20,16058
2020-05-21,17212
2020-05-22,18767
2020-05-23,21191
2020-05-24,22786
2020-05-25,24278
2020-05-26,26145
2020-05-27,27797
2020-05-28,30482
2020-05-29,32620
2020-05-30,34639
2020-05-31,35297
2020-06-01,36625
2020-06-02,38174
2020-06-03,40629
2020-06-04,43313
2020-06-05,45470
2020-06-06,47593
2020-06-07,48537
2020-06-08,49371
2020-06-09,52069
2020-06-10,53508
2020-06-11,55680
2020-06-12,57605
2020-06-13,58859
2020-06-14,59850
2020-06-15,60592
2020-06-16,62711
2020-06-17,64735
2020-06-18,66091
2020-06-19,68500
2020-06-20,69673
2020-06-21,70059
2020-06-22,70689
2020-06-23,72021
2020-06-24,73314
2020-06-25,74925
2020-06-26,76698
2020-06-27,78115
2020-06-28,78512
2020-06-29,78969
2020-06-30,80451
2020-07-01,83256
2020-07-02,86025
2020-07-03,88214
2020-07-04,89057
2020-07-05,89714
2020-07-06,90251
2020-07-07,92088
2020-07-08,92939
2020-07-09,95323
2020-07-10,96718
2020-07-11,98398
2020-07-12,98952
2020-07-13,99830
2020-07-14,101467
2020-07-15,102469
2020-07-16,104126
2020-07-17,105183
2020-07-18,106092
2020-07-19,106328
2020-07-20,106906
2020-07-21,108154
2020-07-22,109731
2020-07-23,111488
2020-07-24,112683
2020-07-25,113563
2020-07-26,113891
2020-07-27,114585
2020-07-28,115988
2020-07-29,117694
2020-07-30,119262
2020-07-31,120661
2020-08-01,121851
2020-08-02,121953
2020-08-03,122482
2020-08-04,123887
2020-08-05,125459
2020-08-06,127065
2020-08-07,128846
2020-08-08,129700
2020-08-09,130136
2020-08-10,130566
2020-08-11,132060
2020-08-12,133265
2020-08-13,134193
2020-08-14,135324
2020-08-15,136280
2020-08-16,136853
2020-08-17,137408
2020-08-18,139185
2020-08-19,140571
2020-08-20,141860
2020-08-21,143103
2020-08-22,143873
2020-08-23,144400
2020-08-24,144895
2020-08-25,145921
2020-08-26,147676
2020-08-27,148923
2020-08-28,150144
2020-08-29,150895
2020-08-30,151212
2020-08-31,151615
2020-09-01,152681
2020-09-02,154468
2020-09-03,155717
2020-09-04,157052
2020-09-05,157844
2020-09-06,158050
2020-09-07,158310
2020-09-08,159163
2020-09-09,160239
2020-09-10,160968
2020-09-11,161994
